archetype,wins,top8,day2,day2_avg_share_pct,"2026-06-10 NAIC 2026, New Orleans","2026-05-30 Regional Indianapolis, IN",2026-05-23 Regional Melbourne,2026-05-16 Regional Campinas,2026-05-16 Regional Utrecht,"2026-05-09 Regional Los Angeles, CA",2026-04-25 Regional Prague
Dragapult,3,31,1035,40.1,325,158,70,108,125,156,93
Raging Bolt,0,4,155,6.5,19,30,11,29,35,25,6
Alakazam,1,2,135,5.0,46,16,7,13,27,18,8
Festival Lead,0,0,107,4.9,10,8,13,15,26,16,19
N's Zoroark,0,0,123,4.5,51,10,9,14,14,15,10
Rocket's Mewtwo,0,2,91,4.2,8,8,7,14,17,16,21
Mega Lopunny,1,2,85,3.6,4,7,6,28,29,10,1
Hydrapple,1,1,92,3.4,31,25,8,9,14,4,1
Mega Lucario,0,1,77,3.3,9,15,6,12,21,4,10
Cynthia's Garchomp,0,1,71,3.2,7,10,3,15,8,12,16
Basic Box,0,3,77,3.1,24,20,9,7,7,5,5
Crustle,0,4,74,2.6,35,7,0,4,6,2,20
Rocket's Honchkrow,0,1,55,2.4,13,11,9,7,8,3,4
Ogerpon Meganium,0,1,49,2.3,2,1,2,7,10,11,16
Slowking,0,1,63,2.2,35,10,7,4,4,2,1
Mega Starmie,0,1,45,1.9,2,4,1,11,11,12,4
Lillie's Clefairy,1,1,26,1.0,8,2,1,5,6,2,2
Marnie's Grimmsnarl,0,0,19,0.9,3,2,4,1,3,3,3
Okidogi,0,0,19,0.9,1,1,1,1,5,4,6
Greninja,0,0,16,0.7,0,3,2,2,6,2,1
Tera Box,0,0,8,0.4,0,1,1,1,1,1,3
Mega Kangaskhan,0,0,10,0.3,3,4,0,0,3,0,0
Hop's Trevenant,0,0,10,0.3,5,0,0,0,2,2,1
Ethan's Typhlosion,0,0,8,0.3,4,2,0,0,1,0,1
Archaludon,0,0,6,0.2,1,2,0,0,2,0,1
Mega Absol Box,0,0,5,0.2,1,0,0,0,0,2,2
Mega Greninja,0,0,9,0.2,9,0,0,0,0,0,0
Beedrill,0,0,8,0.2,8,0,0,0,0,0,0
Steven's Metagross,0,0,4,0.2,1,0,0,2,0,1,0
Ceruledge,0,0,3,0.1,1,0,1,1,0,0,0
Flareon,0,0,3,0.1,0,1,0,2,0,0,0
Bloodmoon Ursaluna,0,0,3,0.1,0,1,0,1,0,1,0
Mega Diancie,0,0,3,0.1,1,1,0,0,1,0,0
Mega Venusaur,0,0,2,0.1,0,0,0,1,0,1,0
Metagross,0,0,4,0.1,4,0,0,0,0,0,0
Toxtricity,0,0,1,0.1,0,0,1,0,0,0,0
Mega Sharpedo,0,0,2,0.1,1,0,0,0,1,0,0
Rocket's Spidops,0,0,1,0.0,0,0,0,1,0,0,0
Yanmega,0,0,1,0.0,0,0,0,1,0,0,0
Mega Froslass,0,0,1,0.0,0,0,0,0,0,1,0
Sylveon,0,0,2,0.0,2,0,0,0,0,0,0
Froslass Munkidori,0,0,1,0.0,0,0,0,0,1,0,0
Mega Gardevoir,0,0,1,0.0,0,0,0,0,1,0,0
Joltik Box,0,0,1,0.0,1,0,0,0,0,0,0
