variant,archetype,wins,top8,day2,day2_avg_share_pct,"2026-06-10 NAIC 2026, New Orleans","2026-05-30 Regional Indianapolis, IN",2026-05-23 Regional Melbourne,2026-05-16 Regional Campinas,2026-05-16 Regional Utrecht,"2026-05-09 Regional Los Angeles, CA",2026-04-25 Regional Prague
Dragapult,Dragapult,2,18,572,20.6,240,106,32,49,47,48,50
Dragapult Dusknoir,Dragapult,0,6,216,9.0,58,24,28,13,26,53,14
Raging Bolt Ogerpon,Raging Bolt,0,4,155,6.5,19,30,11,29,35,25,6
Dragapult Dudunsparce,Dragapult,1,4,120,5.2,3,10,6,34,30,30,7
Dragapult Blaziken,Dragapult,0,3,125,5.1,23,17,4,12,22,25,22
Alakazam Dudunsparce,Alakazam,1,2,135,5.0,46,16,7,13,27,18,8
Festival Lead,Festival Lead,0,0,107,4.9,10,8,13,15,26,16,19
N's Zoroark,N's Zoroark,0,0,123,4.5,51,10,9,14,14,15,10
Rocket's Mewtwo,Rocket's Mewtwo,0,2,91,4.2,8,8,7,14,17,16,21
Lopunny Dudunsparce,Mega Lopunny,1,2,85,3.6,4,7,6,28,29,10,1
Hydrapple,Hydrapple,1,1,92,3.4,31,25,8,9,14,4,1
Cynthia's Garchomp,Cynthia's Garchomp,0,1,71,3.2,7,10,3,15,8,12,16
Basic Box,Basic Box,0,3,77,3.1,24,20,9,7,7,5,5
Crustle,Crustle,0,4,74,2.6,35,7,0,4,6,2,20
Rocket's Honchkrow,Rocket's Honchkrow,0,1,55,2.4,13,11,9,7,8,3,4
Ogerpon Meganium,Ogerpon Meganium,0,1,49,2.3,2,1,2,7,10,11,16
Slowking,Slowking,0,1,63,2.2,35,10,7,4,4,2,1
Lucario Hariyama,Mega Lucario,0,1,47,2.0,6,6,1,11,12,3,8
Starmie Froslass,Mega Starmie,0,0,34,1.4,2,3,0,9,7,10,3
Mega Lucario,Mega Lucario,0,0,30,1.3,3,9,5,1,9,1,2
Grimmsnarl Froslass,Marnie's Grimmsnarl,0,0,19,0.9,3,2,4,1,3,3,3
Okidogi Barbaracle,Okidogi,0,0,19,0.9,1,1,1,1,5,4,6
Clefairy Ogerpon,Lillie's Clefairy,0,0,17,0.7,1,0,1,5,6,2,2
Greninja,Greninja,0,0,16,0.7,0,3,2,2,6,2,1
Starmie Dusknoir,Mega Starmie,0,1,10,0.5,0,0,1,2,4,2,1
Tera Box,Tera Box,0,0,8,0.4,0,1,1,1,1,1,3
Kangaskhan Bouffalant,Mega Kangaskhan,0,0,10,0.3,3,4,0,0,3,0,0
Hop's Trevenant,Hop's Trevenant,0,0,10,0.3,5,0,0,0,2,2,1
Ethan's Typhlosion,Ethan's Typhlosion,0,0,8,0.3,4,2,0,0,1,0,1
Lillie's Clefairy,Lillie's Clefairy,1,1,9,0.2,7,2,0,0,0,0,0
Mega Absol Box,Mega Absol Box,0,0,5,0.2,1,0,0,0,0,2,2
Mega Greninja,Mega Greninja,0,0,9,0.2,9,0,0,0,0,0,0
Archaludon Dudunsparce,Archaludon,0,0,5,0.2,1,2,0,0,2,0,0
Beedrill,Beedrill,0,0,8,0.2,8,0,0,0,0,0,0
Steven's Metagross,Steven's Metagross,0,0,4,0.2,1,0,0,2,0,1,0
Ceruledge,Ceruledge,0,0,3,0.1,1,0,1,1,0,0,0
Flareon Noctowl,Flareon,0,0,3,0.1,0,1,0,2,0,0,0
Ursaluna Lunatone,Bloodmoon Ursaluna,0,0,3,0.1,0,1,0,1,0,1,0
Diancie Dusknoir,Mega Diancie,0,0,3,0.1,1,1,0,0,1,0,0
Mega Venusaur,Mega Venusaur,0,0,2,0.1,0,0,0,1,0,1,0
Metagross,Metagross,0,0,4,0.1,4,0,0,0,0,0,0
Toxtricity Box,Toxtricity,0,0,1,0.1,0,0,1,0,0,0,0
Dragapult Froslass,Dragapult,0,0,2,0.1,1,1,0,0,0,0,0
Sharpedo Toxtricity,Mega Sharpedo,0,0,2,0.1,1,0,0,0,1,0,0
Archaludon,Archaludon,0,0,1,0.1,0,0,0,0,0,0,1
Rocket's Spidops,Rocket's Spidops,0,0,1,0.0,0,0,0,1,0,0,0
Yanmega,Yanmega,0,0,1,0.0,0,0,0,1,0,0,0
Froslass Dudunsparce,Mega Froslass,0,0,1,0.0,0,0,0,0,0,1,0
Sylveon,Sylveon,0,0,2,0.0,2,0,0,0,0,0,0
Mega Starmie,Mega Starmie,0,0,1,0.0,0,1,0,0,0,0,0
Froslass Munkidori,Froslass Munkidori,0,0,1,0.0,0,0,0,0,1,0,0
Mega Gardevoir,Mega Gardevoir,0,0,1,0.0,0,0,0,0,1,0,0
Joltik Box,Joltik Box,0,0,1,0.0,1,0,0,0,0,0,0
